"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  7873; Unit:   1, Func:   6: Write Single Register"
"2","0.000041","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=1 Ack=13 Win=10105 Len=0"
"3","0.015166","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  7873; Unit:   1, Func:   6: Write Single Register"
"4","0.015203","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=13 Ack=13 Win=10104 Len=0"
"5","0.015395","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  2861; Unit:   1, Func:   6: Write Single Register"
"6","0.015436","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=13 Ack=25 Win=10104 Len=0"
"7","0.046253","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans:  2861; Unit:   1, Func:   6: Write Single Register"
"8","0.046305","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=25 Ack=25 Win=10104 Len=0"
"9","0.046498","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 36429; Unit:   1, Func:   6: Write Single Register"
"10","0.046537","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=25 Ack=37 Win=10104 Len=0"
"11","0.077415","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 36429; Unit:   1, Func:   6: Write Single Register"
"12","0.077463","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=37 Ack=37 Win=10104 Len=0"
"13","0.077785","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans: 56364; Unit:   1, Func:   6: Write Single Register"
"14","0.077846","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=37 Ack=49 Win=10104 Len=0"
"15","0.108980","127.0.0.1","127.0.0.1","Modbus/TCP","56","Response: Trans: 56364; Unit:   1, Func:   6: Write Single Register"
"16","0.109032","127.0.0.1","127.0.0.1","TCP","44","1621  >  502 [ACK] Seq=49 Ack=49 Win=10104 Len=0"
"17","0.109167","127.0.0.1","127.0.0.1","Modbus/TCP","56","   Query: Trans:  8764; Unit:   1, Func:   6: Write Single Register"
"18","0.109206","127.0.0.1","127.0.0.1","TCP","44","502  >  1621 [ACK] Seq=49 Ack=61 Win=10104 Len=0"
